Quotation_ID,PO_ID,Supplier_ID,Supplier_Name,Supplier_Rating,Material_ID,Material_Name,Material_Qty,Quoted_UnitPrice,Delivery_Date,Additional_Conditions,Create_Datetime
Q015,PO-20733209,S057,Supplier_S057,4.4,M002,Salt,200,1.65,07-07-2025,Delivery in reusable containers,08-06-25 00:01:28
Q016,PO-20223762,S093,Supplier_S093,4.1,M003,Citric Acid,2000,1.29,18-07-2025,Free delivery for orders above 1000 units,15-06-25 01:03:28
Q017,PO-20668315,S189,Supplier_S189,4.5,M020,Natural Flavors,2000,1.67,22-07-2025,Free delivery for orders above 1000 units,10-06-25 02:15:28
Q018,PO-20593845,S012,Supplier_S012,4,M037,Caramel Color,100,0.95,10-07-2025,Discount on next purchase,26-05-25 09:19:28
Q019,PO-20282971,S109,Supplier_S109,4.3,M013,Onion Powder,500,1.51,16-07-2025,Delivery in reusable containers,25-05-25 04:38:28
Q020,PO-20578592,S057,Supplier_S057,4.5,M006,Corn,2000,1.44,14-07-2025,Advance payment required,08-06-25 06:28:28
Q021,PO-20590531,S161,Supplier_S161,4.5,M003,Citric Acid,1000,1.4,28-06-2025,Custom packaging available,11-06-25 06:48:28
Q022,PO-20196734,S184,Supplier_S184,4.4,M005,Potatoes,1000,1.74,12-07-2025,Custom packaging available,20-06-25 02:32:28
Q023,PO-20269711,S159,Supplier_S159,4.5,M003,Citric Acid,500,1.48,19-07-2025,Advance payment required,22-06-25 02:09:28
Q024,PO-20003688,S189,Supplier_S189,4.5,M020,Natural Flavors,500,1.45,30-06-2025,Delivery in reusable containers,13-06-25 07:08:28
Q025,PO-20618471,S018,Supplier_S018,4.5,M010,Whey Protein,500,1.61,09-07-2025,Free delivery for orders above 1000 units,08-06-25 23:05:28
Q026,PO-20984890,S103,Supplier_S103,4.2,M038,Baking Powder,500,1.76,21-07-2025,Special pricing for long-term contracts,10-06-25 02:39:28
Q027,PO-20236091,S151,Supplier_S151,4.7,M002,Salt,2000,1.77,12-07-2025,Free delivery for orders above 1000 units,07-06-25 16:59:28
Q028,PO-20789640,S159,Supplier_S159,4.5,M003,Citric Acid,200,1.17,06-07-2025,Special pricing for long-term contracts,18-06-25 03:58:28
Q029,PO-20227542,S196,Supplier_S196,4.2,M042,Acetic Acid,200,1.98,19-07-2025,Delivery in reusable containers,29-05-25 21:28:28
Q030,PO-20477660,S012,Supplier_S012,4,M037,Caramel Color,100,1.49,02-07-2025,Discount on next purchase,17-06-25 17:11:28
Q031,PO-20175394,S134,Supplier_S134,4.2,M033,Vanillin,500,1.55,01-07-2025,Flexible lead time on bulk orders,06-06-25 14:25:28
Q032,PO-20493844,S007,Supplier_S007,4.1,M001,Sugar,200,1.78,01-07-2025,Advance payment required,15-06-25 01:34:28
Q033,PO-20062296,S171,Supplier_S171,4.4,M019,Paprika Extract,1000,1.55,04-07-2025,Special pricing for long-term contracts,14-06-25 10:46:28
Q034,PO-20925445,S029,Supplier_S029,3.9,M007,Vegetable Oil,200,1.7,08-07-2025,Custom packaging available,31-05-25 01:37:28
Q035,PO-20050082,S153,Supplier_S153,4.3,M014,Garlic Powder,500,1.81,19-07-2025,No returns accepted after 15 days,27-05-25 14:49:28
Q036,PO-20324546,S007,Supplier_S007,4.1,M001,Sugar,500,1.42,06-07-2025,Special pricing for long-term contracts,01-06-25 05:40:28
Q037,PO-20479181,S046,Supplier_S046,4.4,M033,Vanillin,100,1.83,29-06-2025,Discount on next purchase,12-06-25 17:03:28
Q038,PO-20459399,S105,Supplier_S105,4.6,M027,Milk Solids,2000,0.97,03-07-2025,Advance payment required,02-06-25 08:21:28
Q039,PO-20128594,S027,Supplier_S027,4.6,M019,Paprika Extract,200,1.33,13-07-2025,No returns accepted after 15 days,24-05-25 07:44:28
Q040,PO-20232762,S061,Supplier_S061,4.5,M024,Ascorbic Acid,1000,1.56,14-07-2025,No returns accepted after 15 days,24-05-25 19:13:28
Q041,PO-20986377,S194,Supplier_S194,4.8,M042,Acetic Acid,100,1.34,15-07-2025,Discount on next purchase,08-06-25 10:33:28
Q042,PO-20558758,S172,Supplier_S172,4.5,M020,Natural Flavors,2000,1.79,19-07-2025,No returns accepted after 15 days,09-06-25 05:35:28
Q043,PO-20850482,S159,Supplier_S159,4.5,M003,Citric Acid,1000,1.47,20-07-2025,Free delivery for orders above 1000 units,22-06-25 08:30:28
Q044,PO-20132471,S024,Supplier_S024,4.3,M024,Ascorbic Acid,2000,1.68,22-07-2025,Special pricing for long-term contracts,25-05-25 02:44:28
Q045,PO-20411182,S115,Supplier_S115,4.4,M026,Cocoa Powder,100,1.51,02-07-2025,Discount on next purchase,25-05-25 04:46:28
Q046,PO-20896065,S012,Supplier_S012,4,M037,Caramel Color,500,1.28,06-07-2025,Custom packaging available,20-06-25 09:30:28
Q047,PO-20149450,S151,Supplier_S151,4.7,M002,Salt,100,1.57,14-07-2025,Flexible lead time on bulk orders,01-06-25 23:02:28
Q048,PO-20735160,S093,Supplier_S093,4.1,M003,Citric Acid,200,1.54,15-07-2025,No returns accepted after 15 days,31-05-25 15:57:28
Q049,PO-20745882,S012,Supplier_S012,4,M037,Caramel Color,1000,1.66,05-07-2025,Free delivery for orders above 1000 units,07-06-25 08:57:28
Q050,PO-20918270,S194,Supplier_S194,4.8,M042,Acetic Acid,500,1.64,15-07-2025,No returns accepted after 15 days,20-06-25 07:19:28
Q051,PO-20062089,S036,Supplier_S036,4.5,M006,Corn,500,1.83,14-07-2025,Free delivery for orders above 1000 units,08-06-25 22:01:28
Q052,PO-20855828,S005,Supplier_S005,4.7,M008,Sunflower Oil,1000,1.33,28-06-2025,Advance payment required,02-06-25 15:09:28
Q053,PO-20881568,S196,Supplier_S196,4.2,M042,Acetic Acid,1000,1.3,21-07-2025,Delivery in reusable containers,14-06-25 07:00:28
Q054,PO-20594905,S190,Supplier_S190,3.9,M001,Sugar,2000,1.33,13-07-2025,Flexible lead time on bulk orders,24-05-25 01:07:28
Q055,PO-20631663,S057,Supplier_S057,4.4,M002,Salt,200,1.38,11-07-2025,Discount on next purchase,03-06-25 06:30:28
Q056,PO-20585916,S057,Supplier_S057,4.4,M002,Salt,100,1.68,06-07-2025,Delivery in reusable containers,02-06-25 05:34:28
Q057,PO-20048534,S134,Supplier_S134,4.2,M033,Vanillin,1000,1.58,30-06-2025,Discount on next purchase,04-06-25 18:58:28
Q058,PO-20953248,S196,Supplier_S196,4.2,M042,Acetic Acid,1000,1.5,06-07-2025,Special pricing for long-term contracts,20-06-25 00:21:28
Q059,PO-20684077,S134,Supplier_S134,4.2,M033,Vanillin,500,1.37,06-07-2025,Bulk Discount Available and payment within 30 days,17-06-25 11:49:28
Q060,PO-20344486,S093,Supplier_S093,4.4,M008,Sunflower Oil,2000,1.49,16-07-2025,No returns accepted after 15 days,10-06-25 02:31:28
Q061,PO-20220603,S194,Supplier_S194,4.8,M042,Acetic Acid,2000,1.86,08-07-2025,Delivery in reusable containers,04-06-25 18:11:28
Q062,PO-20544125,S194,Supplier_S194,4.8,M042,Acetic Acid,500,1.78,05-07-2025,Free delivery for orders above 1000 units,07-06-25 10:43:28
Q063,PO-20340314,S190,Supplier_S190,3.9,M001,Sugar,1000,1.69,07-07-2025,Special pricing for long-term contracts,14-06-25 01:12:28
Q064,PO-20796805,S059,Supplier_S059,4.8,M010,Whey Protein,1000,1.61,23-07-2025,No returns accepted after 15 days,02-06-25 04:24:28
Q065,PO-20154688,S109,Supplier_S109,4.3,M013,Onion Powder,2000,1.71,06-07-2025,Custom packaging available,03-06-25 05:31:28
Q066,PO-20248064,S184,Supplier_S184,4.2,M015,Maltodextrin,1000,1.44,23-07-2025,Free delivery for orders above 1000 units,08-06-25 04:41:28
Q067,PO-20826986,S012,Supplier_S012,4,M037,Caramel Color,500,1.12,04-07-2025,Advance payment required,07-06-25 16:02:28
Q068,PO-20818900,S007,Supplier_S007,4.1,M001,Sugar,2000,1.7,13-07-2025,Advance payment required,22-06-25 18:12:28
Q069,PO-20794388,S161,Supplier_S161,4.5,M003,Citric Acid,1000,1.61,13-07-2025,Delivery in reusable containers,26-05-25 07:36:28
Q070,PO-20376182,S018,Supplier_S018,3.9,M014,Garlic Powder,1000,1.54,10-07-2025,Advance payment required,04-06-25 21:03:28
Q071,PO-20770051,S172,Supplier_S172,4.5,M020,Natural Flavors,500,1.63,20-07-2025,Free delivery for orders above 1000 units,12-06-25 16:42:28
Q072,PO-20845414,S190,Supplier_S190,3.9,M001,Sugar,100,1.29,18-07-2025,Free delivery for orders above 1000 units,08-06-25 18:15:28
Q073,PO-20195045,S112,Supplier_S112,4.4,M007,Vegetable Oil,200,1.81,02-07-2025,Bulk Discount Available and payment within 30 days,07-06-25 03:24:28
Q074,PO-20616163,S115,Supplier_S115,4.4,M002,Salt,1000,1.42,29-06-2025,Flexible lead time on bulk orders,26-05-25 12:54:28
Q075,PO-20717307,S172,Supplier_S172,4.1,M015,Maltodextrin,500,1.61,10-07-2025,Bulk Discount Available and payment within 30 days,09-06-25 15:30:28
Q076,PO-20157421,S134,Supplier_S134,4.2,M033,Vanillin,2000,1.71,21-07-2025,Bulk Discount Available and payment within 30 days,21-06-25 06:55:28
Q077,PO-20588030,S064,Supplier_S064,4.1,M020,Natural Flavors,2000,1.59,22-07-2025,No returns accepted after 15 days,27-05-25 10:50:28
Q078,PO-20661942,S029,Supplier_S029,3.9,M007,Vegetable Oil,200,1.76,11-07-2025,No returns accepted after 15 days,18-06-25 09:16:28
Q079,PO-20430509,S151,Supplier_S151,4.7,M002,Salt,200,1.17,19-07-2025,Flexible lead time on bulk orders,20-06-25 04:47:28
Q080,PO-20457264,S184,Supplier_S184,4.4,M005,Potatoes,2000,1.36,03-07-2025,Advance payment required,08-06-25 12:41:28
Q081,PO-20532304,S190,Supplier_S190,3.9,M001,Sugar,500,1.22,20-07-2025,Custom packaging available,03-06-25 11:50:28
Q082,PO-20879390,S151,Supplier_S151,4.7,M002,Salt,1000,1.28,08-07-2025,Bulk Discount Available and payment within 30 days,15-06-25 22:55:28
Q083,PO-20244215,S005,Supplier_S005,4.7,M008,Sunflower Oil,2000,1.4,28-06-2025,Bulk Discount Available and payment within 30 days,29-05-25 17:35:28
Q084,PO-20863779,S071,Supplier_S071,4.4,M037,Caramel Color,500,1.31,30-06-2025,Free delivery for orders above 1000 units,14-06-25 12:54:28
Q085,PO-20737285,S057,Supplier_S057,4.5,M006,Corn,1000,1.09,16-07-2025,Custom packaging available,30-05-25 15:08:28
Q086,PO-20314653,S061,Supplier_S061,4.5,M024,Ascorbic Acid,100,1.29,05-07-2025,Custom packaging available,04-06-25 04:46:28
Q087,PO-20600849,S007,Supplier_S007,4.1,M001,Sugar,1000,1.54,10-07-2025,Bulk Discount Available and payment within 30 days,14-06-25 16:20:28
Q088,PO-20469236,S025,Supplier_S025,4.2,M011,Cheddar Cheese,500,1.75,14-07-2025,Advance payment required,07-06-25 01:06:28
Q089,PO-20851645,S093,Supplier_S093,4.1,M003,Citric Acid,500,1.45,15-07-2025,Free delivery for orders above 1000 units,21-06-25 12:50:28
Q090,PO-20923551,S057,Supplier_S057,4.5,M006,Corn,100,1.15,07-07-2025,Custom packaging available,28-05-25 20:52:28
Q091,PO-20204463,S194,Supplier_S194,4.8,M042,Acetic Acid,2000,1.51,13-07-2025,Bulk Discount Available and payment within 30 days,29-05-25 06:17:28
Q092,PO-20194773,S071,Supplier_S071,4.4,M037,Caramel Color,500,1.57,20-07-2025,Custom packaging available,01-06-25 04:24:28
Q093,PO-20018287,S188,Supplier_S188,4.4,M033,Vanillin,2000,1.54,12-07-2025,Custom packaging available,25-05-25 12:27:28
Q094,PO-20833261,S184,Supplier_S184,4.2,M015,Maltodextrin,200,1.33,23-07-2025,Advance payment required,18-06-25 13:34:28
Q095,PO-20855796,S007,Supplier_S007,4.1,M001,Sugar,500,1.56,23-07-2025,No returns accepted after 15 days,16-06-25 13:37:28
Q096,PO-20798003,S027,Supplier_S027,4.6,M019,Paprika Extract,500,1.48,10-07-2025,Advance payment required,27-05-25 04:25:28
Q097,PO-20369124,S029,Supplier_S029,4.2,M008,Sunflower Oil,2000,1.37,17-07-2025,Advance payment required,01-06-25 07:12:28
Q098,PO-20800819,S172,Supplier_S172,4.5,M020,Natural Flavors,1000,0.89,22-07-2025,Custom packaging available,02-06-25 07:26:28
Q099,PO-20324630,S071,Supplier_S071,4.4,M037,Caramel Color,1000,1.49,15-07-2025,Special pricing for long-term contracts,03-06-25 02:13:28
Q100,PO-20495994,S109,Supplier_S109,4.3,M013,Onion Powder,500,1.27,04-07-2025,Special pricing for long-term contracts,20-06-25 22:32:28
Q101,PO-20230381,S117,Supplier_S117,4.6,M013,Onion Powder,2000,1.59,09-07-2025,Custom packaging available,24-05-25 06:18:28
Q102,PO-20440015,S194,Supplier_S194,4.8,M042,Acetic Acid,1000,1.64,28-06-2025,Delivery in reusable containers,12-06-25 21:53:28
Q103,PO-20687496,S134,Supplier_S134,4.2,M033,Vanillin,500,1.13,18-07-2025,Flexible lead time on bulk orders,28-05-25 15:20:28
Q104,PO-20738774,S153,Supplier_S153,4.3,M014,Garlic Powder,200,1.35,16-07-2025,Discount on next purchase,19-06-25 05:04:28
Q105,PO-20187780,S036,Supplier_S036,4.5,M006,Corn,2000,1.4,19-07-2025,Delivery in reusable containers,16-06-25 09:33:28
Q106,PO-20965818,S093,Supplier_S093,4.1,M006,Corn,100,1.82,21-07-2025,Custom packaging available,17-06-25 12:37:28
Q107,PO-20291787,S071,Supplier_S071,4.4,M037,Caramel Color,200,1.23,13-07-2025,Bulk Discount Available and payment within 30 days,27-05-25 01:16:28
Q108,PO-20057931,S046,Supplier_S046,4.4,M033,Vanillin,100,1.19,11-07-2025,Advance payment required,13-06-25 03:18:28
Q109,PO-20129878,S112,Supplier_S112,4.4,M007,Vegetable Oil,2000,1.74,01-07-2025,Discount on next purchase,31-05-25 21:32:28
Q110,PO-20417439,S093,Supplier_S093,4.1,M006,Corn,500,1.58,20-07-2025,Delivery in reusable containers,07-06-25 22:24:28
Q111,PO-20189366,S012,Supplier_S012,4,M037,Caramel Color,500,1.38,02-07-2025,Free delivery for orders above 1000 units,15-06-25 04:44:28
Q112,PO-20516967,S172,Supplier_S172,4.1,M015,Maltodextrin,200,1.41,15-07-2025,Discount on next purchase,30-05-25 19:51:28
Q113,PO-20058612,S024,Supplier_S024,4.3,M024,Ascorbic Acid,2000,1.35,21-07-2025,Custom packaging available,10-06-25 17:00:28
Q114,PO-20503469,S172,Supplier_S172,4.5,M020,Natural Flavors,1000,1.4,21-07-2025,No returns accepted after 15 days,15-06-25 14:47:28
Q115,PO-20138214,S027,Supplier_S027,4.6,M019,Paprika Extract,1000,1.76,23-07-2025,Free delivery for orders above 1000 units,11-06-25 12:22:28
Q116,PO-20413593,S172,Supplier_S172,4.5,M020,Natural Flavors,1000,1.78,21-07-2025,Flexible lead time on bulk orders,06-06-25 14:20:28
Q117,PO-20761557,S190,Supplier_S190,3.9,M001,Sugar,200,1.48,05-07-2025,Discount on next purchase,19-06-25 23:16:28
Q118,PO-20236022,S027,Supplier_S027,4.6,M019,Paprika Extract,2000,1.45,02-07-2025,Special pricing for long-term contracts,12-06-25 12:35:28
Q119,PO-20771326,S189,Supplier_S189,4.5,M020,Natural Flavors,500,1.36,08-07-2025,Flexible lead time on bulk orders,04-06-25 11:39:28
Q120,PO-20991460,S049,Supplier_S049,4.3,M011,Cheddar Cheese,100,1.32,22-07-2025,Discount on next purchase,03-06-25 21:44:28
Q121,PO-20062839,S188,Supplier_S188,4.4,M033,Vanillin,500,1.42,03-07-2025,Special pricing for long-term contracts,28-05-25 00:30:28
Q122,PO-20413928,S074,Supplier_S074,3.7,M013,Onion Powder,500,1.42,09-07-2025,Custom packaging available,21-06-25 16:46:28
Q123,PO-20575602,S171,Supplier_S171,4.4,M019,Paprika Extract,200,1.76,07-07-2025,Bulk Discount Available and payment within 30 days,09-06-25 18:35:28
Q124,PO-20038308,S151,Supplier_S151,4.7,M002,Salt,100,1.58,01-07-2025,Bulk Discount Available and payment within 30 days,17-06-25 18:08:28
Q125,PO-20147397,S090,Supplier_S090,4.7,M016,Dextrose,100,1.26,01-07-2025,Discount on next purchase,05-06-25 21:46:28
Q126,PO-20805376,S189,Supplier_S189,4.5,M020,Natural Flavors,500,1.36,16-07-2025,Special pricing for long-term contracts,28-05-25 22:06:28
Q127,PO-20968128,S115,Supplier_S115,4.4,M026,Cocoa Powder,200,1.52,17-07-2025,Custom packaging available,20-06-25 09:44:28
Q128,PO-20082260,S190,Supplier_S190,3.9,M001,Sugar,200,1.37,15-07-2025,Delivery in reusable containers,30-05-25 21:22:28
Q129,PO-20791555,S115,Supplier_S115,4.4,M002,Salt,200,1.63,08-07-2025,Delivery in reusable containers,16-06-25 05:59:28
Q130,PO-20926729,S018,Supplier_S018,4.5,M010,Whey Protein,1000,1.46,08-07-2025,Custom packaging available,15-06-25 19:25:28
Q131,PO-20190614,S005,Supplier_S005,4.7,M008,Sunflower Oil,2000,1.45,16-07-2025,Advance payment required,01-06-25 00:48:28
Q132,PO-20074094,S172,Supplier_S172,4.1,M015,Maltodextrin,2000,1.28,06-07-2025,Flexible lead time on bulk orders,17-06-25 12:27:28
Q133,PO-20886008,S071,Supplier_S071,4.4,M037,Caramel Color,1000,1.27,01-07-2025,No returns accepted after 15 days,09-06-25 21:30:28
Q134,PO-20216412,S012,Supplier_S012,4,M037,Caramel Color,100,1.32,19-07-2025,No returns accepted after 15 days,24-05-25 16:37:28
Q135,PO-20230383,S117,Supplier_S117,4.6,M013,Onion Powder,100,1.55,29-06-2025,Special pricing for long-term contracts,10-06-25 07:28:28
Q136,PO-20807735,S093,Supplier_S093,4.1,M003,Citric Acid,2000,1.67,13-07-2025,Free delivery for orders above 1000 units,09-06-25 20:18:28
Q137,PO-20184867,S093,Supplier_S093,4.4,M008,Sunflower Oil,200,1.73,28-06-2025,Delivery in reusable containers,19-06-25 02:42:28
Q138,PO-20420893,S027,Supplier_S027,4.6,M019,Paprika Extract,200,1.48,18-07-2025,Special pricing for long-term contracts,24-05-25 18:30:28
Q139,PO-20979535,S076,Supplier_S076,4.1,M007,Vegetable Oil,100,1.29,22-07-2025,Flexible lead time on bulk orders,13-06-25 23:32:28
Q140,PO-20959808,S117,Supplier_S117,4.6,M013,Onion Powder,500,1.77,20-07-2025,Flexible lead time on bulk orders,04-06-25 18:45:28
Q141,PO-20393897,S071,Supplier_S071,4.4,M037,Caramel Color,2000,1.3,10-07-2025,Flexible lead time on bulk orders,14-06-25 00:58:28
Q142,PO-20659569,S159,Supplier_S159,4.5,M003,Citric Acid,1000,1.52,05-07-2025,Special pricing for long-term contracts,24-05-25 18:12:28
Q143,PO-20986678,S080,Supplier_S080,4.1,M009,Palm Oil,100,1.4,23-07-2025,No returns accepted after 15 days,25-05-25 12:00:28
Q144,PO-20533352,S064,Supplier_S064,4.1,M020,Natural Flavors,1000,1.49,01-07-2025,Delivery in reusable containers,05-06-25 18:56:28
Q145,PO-20228200,S049,Supplier_S049,4.3,M011,Cheddar Cheese,1000,1.44,09-07-2025,Custom packaging available,07-06-25 14:36:28
Q146,PO-20478414,S184,Supplier_S184,4.2,M015,Maltodextrin,200,1.32,13-07-2025,Bulk Discount Available and payment within 30 days,20-06-25 23:46:28
Q147,PO-20961505,S024,Supplier_S024,4.3,M024,Ascorbic Acid,2000,1.7,15-07-2025,Special pricing for long-term contracts,16-06-25 19:12:28
Q148,PO-20456194,S071,Supplier_S071,4.4,M037,Caramel Color,500,1.38,23-07-2025,Delivery in reusable containers,17-06-25 10:54:28
Q149,PO-20002658,S029,Supplier_S029,3.9,M007,Vegetable Oil,2000,1.57,11-07-2025,Custom packaging available,17-06-25 17:19:28
Q150,PO-20976213,S029,Supplier_S029,4.2,M008,Sunflower Oil,2000,1.4,10-07-2025,No returns accepted after 15 days,18-06-25 10:35:28
Q151,PO-20505543,S146,Supplier_S146,4.4,M005,Potatoes,1000,1.19,30-06-2025,Custom packaging available,02-06-25 10:09:28
Q152,PO-20153654,S029,Supplier_S029,3.9,M007,Vegetable Oil,1000,1.41,06-07-2025,Advance payment required,17-06-25 10:11:28
Q153,PO-20798670,S061,Supplier_S061,4.5,M024,Ascorbic Acid,200,1.68,09-07-2025,Delivery in reusable containers,30-05-25 08:56:28
Q154,PO-20560602,S077,Supplier_S077,4.9,M028,Skimmed Milk Powder,200,1.23,30-06-2025,Delivery in reusable containers,12-06-25 20:35:28
Q155,PO-20347540,S190,Supplier_S190,3.9,M001,Sugar,500,1.68,21-07-2025,Discount on next purchase,13-06-25 02:49:28
Q156,PO-20024635,S012,Supplier_S012,4,M037,Caramel Color,1000,1.65,07-07-2025,Discount on next purchase,16-06-25 20:58:28
Q157,PO-20165420,S161,Supplier_S161,4.5,M003,Citric Acid,500,1.57,20-07-2025,Custom packaging available,05-06-25 04:53:28
Q158,PO-20611719,S194,Supplier_S194,4.8,M042,Acetic Acid,100,1.33,19-07-2025,Flexible lead time on bulk orders,26-05-25 04:45:28
Q159,PO-20325371,S107,Supplier_S107,4.3,M027,Milk Solids,500,1.11,28-06-2025,Flexible lead time on bulk orders,04-06-25 23:02:28
Q160,PO-20253189,S093,Supplier_S093,4.4,M008,Sunflower Oil,1000,1.46,19-07-2025,No returns accepted after 15 days,11-06-25 07:48:28
Q161,PO-20618555,S057,Supplier_S057,4.4,M002,Salt,200,1.28,22-07-2025,Custom packaging available,26-05-25 18:39:28
Q162,PO-20801001,S153,Supplier_S153,4.3,M014,Garlic Powder,200,1.53,20-07-2025,Discount on next purchase,05-06-25 01:11:28
Q163,PO-20458899,S161,Supplier_S161,4.5,M003,Citric Acid,2000,0.98,17-07-2025,Delivery in reusable containers,07-06-25 10:23:28
Q164,PO-20654170,S057,Supplier_S057,4.4,M002,Salt,100,1.13,10-07-2025,Free delivery for orders above 1000 units,31-05-25 20:53:28
Q165,PO-20007118,S112,Supplier_S112,4.4,M007,Vegetable Oil,500,1.38,15-07-2025,Delivery in reusable containers,07-06-25 06:29:28
Q166,PO-20105333,S103,Supplier_S103,4.2,M038,Baking Powder,200,1.56,12-07-2025,Free delivery for orders above 1000 units,03-06-25 13:31:28
Q167,PO-20581485,S189,Supplier_S189,4.5,M020,Natural Flavors,100,1.48,01-07-2025,Flexible lead time on bulk orders,29-05-25 17:15:28
Q168,PO-20554799,S018,Supplier_S018,3.9,M014,Garlic Powder,200,1.4,01-07-2025,Special pricing for long-term contracts,22-06-25 16:48:28
Q169,PO-20889893,S005,Supplier_S005,4.7,M008,Sunflower Oil,200,1.65,21-07-2025,Advance payment required,15-06-25 13:25:28
Q170,PO-20485259,S159,Supplier_S159,4.5,M003,Citric Acid,200,1.6,17-07-2025,Flexible lead time on bulk orders,17-06-25 03:15:28
Q171,PO-20398821,S093,Supplier_S093,4.1,M003,Citric Acid,500,1.68,03-07-2025,Discount on next purchase,11-06-25 03:18:28
Q172,PO-20460390,S029,Supplier_S029,3.9,M007,Vegetable Oil,100,1.44,17-07-2025,Discount on next purchase,29-05-25 04:28:28
Q173,PO-20021214,S061,Supplier_S061,4.5,M024,Ascorbic Acid,100,1.28,15-07-2025,Custom packaging available,06-06-25 00:23:28
Q174,PO-20740338,S007,Supplier_S007,4.1,M001,Sugar,1000,1.84,14-07-2025,Advance payment required,11-06-25 10:07:28
Q175,PO-20871783,S027,Supplier_S027,4.6,M019,Paprika Extract,500,1.66,17-07-2025,Advance payment required,15-06-25 03:48:28
Q176,PO-20518644,S151,Supplier_S151,4.7,M002,Salt,2000,1.38,08-07-2025,Advance payment required,20-06-25 07:07:28
Q177,PO-20509768,S172,Supplier_S172,4.5,M020,Natural Flavors,1000,1.72,01-07-2025,Bulk Discount Available and payment within 30 days,26-05-25 13:52:28
Q178,PO-20267991,S061,Supplier_S061,4.5,M024,Ascorbic Acid,2000,1.61,08-07-2025,Bulk Discount Available and payment within 30 days,09-06-25 23:19:28
Q179,PO-20119656,S105,Supplier_S105,4.6,M027,Milk Solids,500,1.41,10-07-2025,Custom packaging available,04-06-25 04:51:28
Q180,PO-20949005,S057,Supplier_S057,4.4,M002,Salt,200,1.48,13-07-2025,Free delivery for orders above 1000 units,26-05-25 15:54:28
Q181,PO-20055463,S029,Supplier_S029,3.9,M007,Vegetable Oil,200,1.65,29-06-2025,Special pricing for long-term contracts,18-06-25 18:21:28
Q182,PO-20530736,S064,Supplier_S064,4.1,M020,Natural Flavors,200,1.39,29-06-2025,Bulk Discount Available and payment within 30 days,04-06-25 22:31:28
Q183,PO-20666791,S115,Supplier_S115,4.4,M002,Salt,2000,1.51,03-07-2025,Custom packaging available,27-05-25 02:57:28
Q184,PO-20302809,S189,Supplier_S189,4.5,M020,Natural Flavors,1000,1.39,28-06-2025,Custom packaging available,26-05-25 23:38:28
Q185,PO-20537099,S189,Supplier_S189,4.5,M020,Natural Flavors,200,1.45,06-07-2025,Bulk Discount Available and payment within 30 days,13-06-25 00:25:28
Q186,PO-20664442,S007,Supplier_S007,4.1,M001,Sugar,1000,1.61,21-07-2025,Bulk Discount Available and payment within 30 days,04-06-25 00:32:28
Q187,PO-20835886,S159,Supplier_S159,4.5,M003,Citric Acid,500,1.35,08-07-2025,Flexible lead time on bulk orders,28-05-25 09:26:28
Q188,PO-20839406,S159,Supplier_S159,4.5,M003,Citric Acid,2000,1.64,01-07-2025,Special pricing for long-term contracts,24-05-25 01:43:28
Q189,PO-20778726,S146,Supplier_S146,4.4,M005,Potatoes,500,1.13,14-07-2025,Bulk Discount Available and payment within 30 days,12-06-25 16:59:28
